id,bibtex_key,scope,data_provenance,target,generalization,model_family,evaluation,evidence_tier
S01,amorim2017multi,core,practice,traits,in-domain,feature,QWK,L1
S02,fonseca2018automatically,core,practice,traits,in-domain,feature/hybrid,QWK,L1
S03,marinho2021essaybr,core,practice,resource,NA,resource,corpus,R
S04,marinho2022dataset,core,practice,resource,NA,resource,corpus,R
S05,marinho2022essay,core,practice,traits,in-domain,feature/hybrid,QWK,L1
S06,oliveira2022estimando,core,practice,traits,in-domain,feature,task-specific,L1
S07,silveira-etal-2024-new,core,practice,resource,NA,resource,corpus,R
S08,de-lima-etal-2024-aesvoting,adjacent,adjacent,holistic,in-domain,encoder/hybrid,QWK,L1
S09,mello-etal-2024-propor24,adjacent,adjacent,resource,NA,resource,corpus,R
S10,oliveira2025narrative,adjacent,adjacent,resource,NA,resource,corpus,R
S11,barbosa2025llm,core,practice,traits,cross-prompt,LLM,QWK,L2
S12,anchieta2025zeroshot,core,practice,feedback,zero-shot,LLM,similarity+expert,L5
S13,carvalho2025gpt35,core,practice,traits,in-domain,LLM/hybrid,QWK,L1
S14,utino2025leveraging,core,practice,traits,zero-shot,LLM,QWK,L1
S15,cavalcanti2025diplomatrix,adjacent,adjacent,resource,NA,resource,corpus,R
S16,silveira2025adversarial,core,practice,robustness,adversarial,encoder,robustness,L4
S17,silveira2025transferencia,core,practice,traits,in-domain,encoder,QWK,L1
S18,rossman-etal-2026-evaluating,core,mixed/official,traits,domain-transfer,hybrid,QWK,L3
S19,barbosa-maua-2026-crossprompt,core,practice,traits,cross-prompt,feature/encoder/LLM,QWK,L2
S20,chalegre-etal-2026-avaliacao,core,practice,traits,in-domain,feature/encoder,QWK,L1
S21,matos-feltrim-2026-avaliacao,core,practice,traits,in-domain,hybrid,QWK+rater-analysis,L4
S22,silveira-maua-2026-neuro,core,practice,traits,in-domain,neuro-symbolic/LLM,QWK+explanations,L4
S23,moraes-maua-2026-reformulation,core,practice,feedback,in-domain,LLM,scoring+feedback,L1
S24,silva2024investigating,core,practice,off-topic,in-domain,feature/encoder/LLM,balanced-accuracy,L4
S25,anchieta2024robustness,core,practice,robustness,adversarial,encoder,QWK,L4
